Title,Metascore,Platform,Release Date
Tiger Woods PGA Tour 2005,91.0,PC,2004-09-20
ESPN NFL Football,91.0,XBOX,2003-09-03
NCAA Football 2003,91.0,GC,2002-07-20
The Longest Journey,91.0,PC,2000-11-16
Tony Hawk's Pro Skater 2,91.0,PC,2000-10-25
Star Wars Jedi Knight: Dark Forces II,91.0,PC,1997-09-30
Batman: Arkham Asylum,91.0,PC,2009-09-15
Halo: Reach,91.0,X360,2010-09-14
Galactic Civilizations II: Dark Avatar,91.0,PC,2007-02-14
Mass Effect,91.0,X360,2007-11-20
The Operative: No One Lives Forever,91.0,PC,2000-11-11
Forza Motorsport 4,91.0,X360,2011-10-11
Resident Evil,91.0,PS,1996-03-30
Battlefield 2,91.0,PC,2005-06-21
God of War Collection,91.0,PS3,2009-11-17
Celeste,91.0,PS4,2018-01-25
Madden NFL 2005,91.0,PS2,2004-08-09
Tony Hawk's Pro Skater 3,91.0,GC,2001-11-13
Street Fighter IV,91.0,PC,2009-07-01
Fallout 3,91.0,PC,2008-10-28
Batman: Arkham City,91.0,PC,2011-11-21
Fez,91.0,PC,2013-05-01
Planescape: Torment,91.0,PC,1999-12-14
Sonic Mania Plus,91.0,Switch,2018-07-17
Gears of War 3,91.0,X360,2011-09-20
Killzone 2,91.0,PS3,2009-02-27
Neverwinter Nights,91.0,PC,2002-06-16
Batman: Arkham Asylum,91.0,PS3,2009-08-25
Castlevania: Aria of Sorrow,91.0,GBA,2003-05-06
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,91.0,PC,2002-09-30
INSIDE,91.0,PS4,2016-08-23
Legacy of Kain: Soul Reaver,91.0,PS,1999-08-16
Dragon Age: Origins,91.0,PC,2009-11-03
Golden Sun,91.0,GBA,2001-11-11
Rayman Legends,91.0,PS3,2013-09-03
Mark of the Ninja,91.0,PC,2012-10-16
World Soccer Winning Eleven 8 International,91.0,PS2,2005-02-01
SteamWorld Heist: Ultimate Edition,91.0,Switch,2017-12-28
The Legend of Zelda: A Link Between Worlds,91.0,3DS,2013-11-22
Dark Souls II,91.0,PC,2014-04-24
Castlevania: Circle of the Moon,91.0,GBA,2001-06-10
Far Cry 3,91.0,X360,2012-12-04
Dark Souls II,91.0,PS3,2014-03-11
Shovel Knight: Treasure Trove,91.0,Switch,2017-03-03
flower,91.0,PS4,2013-11-15
Mario Kart DS,91.0,DS,2005-11-14
Call of Duty,91.0,PC,2003-10-29
Madden NFL 2004,91.0,PC,2003-08-12
Mario Golf,91.0,N64,1999-06-30
Crash Bandicoot 3: Warped,91.0,PS,1998-10-31
Assassin's Creed II,90.0,X360,2009-11-17
Project Gotham Racing 2,90.0,XBOX,2003-11-17
NBA 2K12,90.0,PS3,2011-10-04
The Sims 2,90.0,PC,2004-09-14
World of Warcraft: Cataclysm,90.0,PC,2010-12-07
Half-Life 2,90.0,XBOX,2005-11-15
NCAA Football 2003,90.0,XBOX,2002-07-20
Rayman 2: The Great Escape,90.0,N64,1999-10-31
Bayonetta,90.0,X360,2010-01-05
Diablo III: Ultimate Evil Edition,90.0,PS4,2014-08-19
Overwatch,90.0,PS4,2016-05-23
Far Cry 3,90.0,PS3,2012-12-04
ICO,90.0,PS2,2001-09-24
Tom Clancy's Ghost Recon Advanced Warfighter,90.0,X360,2006-03-09
FIFA Soccer 12,90.0,PS3,2011-09-27
World of Goo,90.0,PC,2008-10-12
Mario & Luigi: Superstar Saga,90.0,GBA,2003-11-17
Shovel Knight,90.0,PS4,2015-04-21
Tony Hawk's Underground,90.0,PS2,2003-10-27
Marvel vs. Capcom 2,90.0,DC,2000-06-29
Ape Escape,90.0,PS,1999-05-31
Syphon Filter,90.0,PS,1999-01-31
Mario & Luigi: Bowser's Inside Story,90.0,DS,2009-09-14
Trials Evolution,90.0,X360,2012-04-18
Grand Theft Auto IV: The Lost and Damned,90.0,X360,2009-02-17
FIFA Soccer 12,90.0,X360,2011-09-27
Dead Cells,90.0,Switch,2018-08-07
Spelunky,90.0,PC,2013-08-08
FIFA Soccer 10,90.0,X360,2009-10-20
Ratchet & Clank: Going Commando,90.0,PS2,2003-11-11
NBA Street Vol. 2,90.0,PS2,2003-04-28
Tennis 2K2,90.0,DC,2001-10-24
Black & White,90.0,PC,2001-03-26
Dead Cells,90.0,XONE,2018-08-07
Fallout 3,90.0,PS3,2008-10-28
The Legend of Zelda: The Wind Waker HD,90.0,WIIU,2013-09-20
ESPN NFL 2K5,90.0,PS2,2004-07-20
Portal,90.0,PC,2007-10-10
The Legend of Zelda: Phantom Hourglass,90.0,DS,2007-10-01
Dead Cells,90.0,PC,2018-08-07
MVP Baseball 2004,90.0,PS2,2004-03-09
Tony Hawk's Pro Skater 3,90.0,GBA,2002-03-04
Dance Dance Revolution,90.0,PS,2001-05-09
NHL 2001,90.0,PC,2000-09-28
Advance Wars: Dual Strike,90.0,DS,2005-08-22
Rayman Legends,90.0,PS4,2014-02-18
MLB 11: The Show,90.0,PS3,2011-03-08
NieR: Automata - Become as Gods Edition,90.0,XONE,2018-06-26
Jak and Daxter: The Precursor Legacy,90.0,PS2,2001-12-03
Star Wars Rogue Leader: Rogue Squadron II,90.0,GC,2001-11-09
Iconoclasts,90.0,Switch,2018-08-02
Monster Hunter: World,90.0,XONE,2018-01-26
Stephen's Sausage Roll,90.0,PC,2016-04-17
Velocity 2X,90.0,VITA,2014-09-02
Burnout Revenge,90.0,PS2,2005-09-13
Tony Hawk's Pro Skater 3,90.0,PC,2002-03-28
NBA 2K2,90.0,GC,2002-03-20
NCAA Football 2002,90.0,PS2,2001-07-23
Unreal Tournament,90.0,DC,2001-03-13
Deus Ex,90.0,PC,2000-06-23
Donkey Kong 64,90.0,N64,1999-10-31
Panzer Dragoon Orta,90.0,XBOX,2003-01-12
Portal: Still Alive,90.0,X360,2008-10-22
Half-Life 2: Episode Two,90.0,PC,2007-10-10
Fez,90.0,PS4,2014-03-25
Braid,90.0,PC,2009-04-10
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,90.0,PC,2004-12-08
Shin Megami Tensei: Persona 4,90.0,PS2,2008-12-08
MLB 09: The Show,90.0,PS3,2009-03-03
Blast Corps,90.0,N64,1997-02-28
Shovel Knight,90.0,3DS,2014-06-26
Hollow Knight,90.0,Switch,2018-06-12
MVP Baseball 2004,90.0,XBOX,2004-03-09
Tony Hawk's Pro Skater 4,90.0,XBOX,2002-10-23
Sid Meier's Civilization III,90.0,PC,2001-10-30
NFL 2K2,90.0,DC,2001-09-19
WWF SmackDown! 2: Know Your Role,90.0,PS,2000-11-21
LIMBO,90.0,X360,2010-07-21
Mark of the Ninja,90.0,X360,2012-09-07
Silent Hunter III,90.0,PC,2005-03-15
Bayonetta,90.0,PC,2017-04-11
Assassin's Creed: Brotherhood,90.0,PS3,2010-11-16
Okami,90.0,WII,2008-04-15
Super Meat Boy,90.0,X360,2010-10-20
Grand Theft Auto: Chinatown Wars,90.0,PSP,2009-10-20
Dead Space 2,90.0,X360,2011-01-25
Pikmin 2,90.0,GC,2004-08-30
Okami HD,90.0,PS3,2012-10-30
NBA 2K17,90.0,XONE,2016-09-16
Madden NFL 2002,90.0,XBOX,2001-10-29
Grandia II,90.0,DC,2000-12-06
Geometry Wars: Retro Evolved 2,90.0,X360,2008-07-30
Sid Meier's Civilization V,90.0,PC,2010-09-21
Super Mario 3D Land,90.0,3DS,2011-11-13
Mario Kart 8 DLC Pack 2,90.0,WIIU,2015-04-23
Falcon 4.0: Allied Force,90.0,PC,2005-06-28
Deus Ex: Human Revolution,90.0,PC,2011-08-23
XCOM: Enemy Unknown,90.0,X360,2012-10-09
Metroid Prime 3: Corruption,90.0,WII,2007-08-27
Monster Hunter: World,90.0,PS4,2018-01-26
Flight Simulator 2002,90.0,PC,2001-10-19
Banjo-Tooie,90.0,N64,2000-11-19
Brothers: A Tale of Two Sons,90.0,PC,2013-09-03
Dota 2,90.0,PC,2013-07-09
World Soccer Winning Eleven 8 International,90.0,XBOX,2005-02-02
TimeSplitters 2,90.0,PS2,2002-10-09
Guild Wars 2,90.0,PC,2012-08-28
Forza Motorsport 2,90.0,X360,2007-05-29
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,90.0,PS4,2015-10-20
Pushmo,90.0,3DS,2011-12-08
The Witcher 3: Wild Hunt - Hearts of Stone,90.0,PS4,2015-10-12
Metal Gear Solid HD Collection,90.0,X360,2011-11-08
Viewtiful Joe,90.0,PS2,2004-08-24
Madden NFL 2005,90.0,GC,2004-08-09
Tiger Woods PGA Tour 2003,90.0,GC,2002-10-27
Freedom Force,90.0,PC,2002-03-24
NBA 2K2,90.0,XBOX,2002-02-27
Colin McRae Rally 2.0,90.0,PS,2000-12-05
FIFA Soccer 13,90.0,X360,2012-09-25
LIMBO,90.0,PS3,2011-07-19
GTR 2,90.0,PC,2006-09-29
NBA 2K13,90.0,PS3,2012-10-02
Grand Theft Auto IV,90.0,PC,2008-12-02
Total War: Shogun 2,90.0,PC,2011-03-15
Empire: Total War,90.0,PC,2009-03-03
Rayman Legends,90.0,X360,2013-09-03
Bayonetta + Bayonetta 2,90.0,Switch,2018-02-16
Kentucky Route Zero - Act IV,90.0,PC,2016-07-20
Guacamelee! Super Turbo Championship Edition,90.0,WIIU,2014-07-02
NBA 2K12,90.0,X360,2011-10-04
ESPN NHL Hockey,90.0,PS2,2003-09-09
Rayman 2 Revolution,90.0,PS2,2001-01-30
Madden NFL 2001,90.0,PS,2000-08-22
Final Fantasy VIII,90.0,PS,1999-09-07
Beetle Adventure Racing,90.0,N64,1999-02-28
Command & Conquer: Red Alert,90.0,PC,1996-10-31
The Witcher 3: Wild Hunt - Hearts of Stone,89.0,PC,2015-10-13
Star Wars Jedi Knight II: Jedi Outcast,89.0,PC,2002-03-26
Wipeout HD Fury,89.0,PS3,2009-07-23
Halo 2 Multiplayer Map Pack,89.0,XBOX,2005-07-05
Borderlands 2,89.0,X360,2012-09-18
Shin Megami Tensei: Persona 3 Portable,89.0,PSP,2010-07-05
XCOM: Enemy Unknown,89.0,PS3,2012-10-09
Call of Duty 2,89.0,X360,2005-11-17
Burnout Revenge,89.0,XBOX,2005-09-13
Dragon Quest VIII: Journey of the Cursed King,89.0,PS2,2005-11-15
Metroid: Zero Mission,89.0,GBA,2004-02-09
The Legend of Zelda: Majora's Mask 3D,89.0,3DS,2015-02-13
Skylanders Swap Force,89.0,WIIU,2013-10-13
The Walking Dead: A Telltale Games Series,89.0,PC,2012-04-24
Tiger Woods PGA Tour 2004,89.0,PS2,2003-09-22
Age of Mythology,89.0,PC,2002-11-01
Pikmin,89.0,GC,2001-12-02
Madden NFL 2002,89.0,GC,2001-11-17
Sacrifice,89.0,PC,2000-11-05
Samba de Amigo,89.0,DC,2000-10-16
Wipeout 3,89.0,PS,1999-08-31
Plants vs. Zombies,89.0,X360,2010-09-08
Dark Souls III,89.0,PC,2016-04-11
Rez HD,89.0,X360,2008-01-30
NBA Street V3,89.0,PS2,2005-02-08
Demon's Souls,89.0,PS3,2009-10-06
Pillars of Eternity,89.0,PC,2015-03-26
The Elder Scrolls III: Morrowind,89.0,PC,2002-05-01
Castlevania: Symphony of the Night,89.0,X360,2007-03-21
Fable II,89.0,X360,2008-10-21
Rez Infinite,89.0,PS4,2016-10-13
Rocksmith 2014 Edition,89.0,PC,2013-10-22
NHL 2K3,89.0,PS2,2002-11-10
Final Fantasy Chronicles,89.0,PS,2001-06-29
Fallout,89.0,PC,1997-09-30
The Beatles: Rock Band,89.0,WII,2009-09-09
